molecule_chembl_id,canonical_smiles,standard_relation,standard_units,standard_value,standard_type,units,value,strain
MB33,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3C(C=CC=C4)=C4N=N3)C=C2,=,nM,7000,IC50,uM,7,3D7
MB34,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3C=NC=N3)C=C2,=,nM,4900,IC50,uM,4.9,3D7
MB35,O=C(C1=C(Cl)SC(Cl)=C1)/C=C/C2=CC=C(OCC3=CC=CC=C3)C(OC)=C2,=,nM,20030,IC50,uM,20.03,3D7
MB36,O=C(C1=C(Cl)SC(Cl)=C1)/C=C/C2=CC=C(OC)C(OCC3=CC=CC=C3)=C2,=,nM,12400,IC50,uM,12.4,3D7
MB37,O=C(C1=CC=CO1)/C=C/C2=CC=C(OCC3=CC=CC=C3)C(OC)=C2,=,nM,66390,IC50,uM,66.39,3D7
MB38,O=C(C1=CC=CO1)/C=C/C2=CC=C(OC)C(OCC3=CC=CC=C3)=C2,=,nM,42160,IC50,uM,42.16,3D7
MB39,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,5400,IC50,uM,5.4,
MB40,O=C(/C=C/C1=CC=C(N(C)C)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,18000,IC50,uM,18,
MB41,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,3000,IC50,uM,3,
MB42,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,16500,IC50,uM,16.5,
MB43,O=C(/C=C/C1=CC=C(C)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,25600,IC50,uM,25.6,
MB44,O=C(/C=C/C1=CC=C(CC)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,16500,IC50,uM,16.5,
MB45,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=C(OC)C(OC)=C(OC)C=C4,=,nM,2000,IC50,uM,2,
MB46,O=C(/C=C/C1=CC=C(C2=CC=C(C=CC=C3)C3=N2)C=C1)C4=C(OC)C(OC)=C(OC)C=C4,=,nM,60000,IC50,uM,60,
MB47,O=C(/C=C/C1=CC=C(OC)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,25000,IC50,uM,25,
MB48,O=C(/C=C/C1=CC=C(F)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,9500,IC50,uM,9.5,
MB49,O=C(/C=C/C1=CC=C(C2=CC=CC=C2)C=C1)C3=C(OC)C(OC)=C(OC)C=C3,=,nM,26200,IC50,uM,26.2,
MB50,O=C(/C=C/C1=C(F)C=C(F)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,18500,IC50,uM,18.5,
MB51,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,22500,IC50,uM,22.5,
MB52,O=C(/C=C/C1=CC(Cl)=C(Cl)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,14500,IC50,uM,14.5,
MB53,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,14500,IC50,uM,14.5,
MB54,O=C(/C=C/C1=C(Cl)C=CC=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,41500,IC50,uM,41.5,
MB55,O=C(/C=C/C1=CC(Cl)=CC=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,24400,IC50,uM,24.4,
MB56,O=C(/C=C/C1=CC=CC=C1)C2=C(OC)C(OC)=C(OC)C=C2,=,nM,15800,IC50,uM,15.8,
MB57,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=CC=C(OCCCC)C=C2,=,nM,108000,IC50,uM,108,
MB58,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=C(OC)C=C(OC)C=C2,=,nM,18800,IC50,uM,18.8,
MB59,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=C(OC)C=C(OC)C=C2,=,nM,5900,IC50,uM,5.9,
MB60,O=C(/C=C/C1=C(F)C=C(F)C=C1)C2=C(OC)C=C(OC)C=C2,=,nM,6200,IC50,uM,6.2,
MB61,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=C(OC)C=C(OC)C=C2,=,nM,2100,IC50,uM,2.1,
MB62,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=C(OC)C=C(OC)C=C2,=,nM,415000,IC50,uM,415,
MB63,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(C=C2)N(C)C,=,nM,70000,IC50,uM,70,
MB64,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(C=C2)C#N,=,nM,94500,IC50,uM,94.5,
MB65,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=CC=C2,=,nM,55500,IC50,uM,55.5,
MB66,O=C(/C=C/C1=CC=C(CC)C=C1)C2=C(OC)C=C(OC)C=C2,=,nM,2400,IC50,uM,2.4,
MB67,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=C(OC)C=C(OC)C=C4,=,nM,2200,IC50,uM,2.2,
MB68,O=C(/C=C/C1=CC=C(C2=CC=C(C=CC=C3)C3=N2)C=C1)C4=C(OC)C=C(OC)C=C4,=,nM,27000,IC50,uM,27,
MB69,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(C=C2)C,=,nM,93800,IC50,uM,93.8,
MB70,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(C=C2)OC,=,nM,128500,IC50,uM,128.5,
MB71,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(C=C2)N(C)C,=,nM,55300,IC50,uM,55.3,
MB72,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(F)C=C2,=,nM,322000,IC50,uM,322,
MB73,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(Cl)C=C2,=,nM,342000,IC50,uM,342,
MB74,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(Br)C=C2,=,nM,542500,IC50,uM,542.5,
MB75,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(F)C=C2Cl,=,nM,600000,IC50,uM,600,
MB76,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(Cl)C(Cl)=C2,=,nM,297500,IC50,uM,297.5,
MB77,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=CC3=C2C=CC=C3,=,nM,320000,IC50,uM,320,
MB78,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(O)C=C2,=,nM,7000,IC50,uM,7,
MB79,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(F)C=C2F,=,nM,26800,IC50,uM,26.8,
MB80,O=C(/C=C/C1=CC=C(C=C1)OC)C2=CC=C(OC)C=C2,=,nM,21700,IC50,uM,21.7,
MB81,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=CC=C(OC)C=C4,=,nM,4800,IC50,uM,4.8,
MB82,O=C(/C=C/C1=CC=C(C2=NC(C=CC=C3)=C3C=C2)C=C1)C4=CC=C(OC)C=C4,=,nM,43000,IC50,uM,43,
MB83,O=C(/C=C/C1=CC=C(F)C=C1)C2=CC=C(OC)C=C2,=,nM,14400,IC50,uM,14.4,
MB84,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=CC=C(OC)C=C2,=,nM,16000,IC50,uM,16,
MB85,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,=,nM,19000,IC50,uM,19,
MB86,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=CC=C(OC)C=C2,=,nM,6400,IC50,uM,6.4,
MB87,O=C(/C=C/C1=CC=C(C)C=C1)C2=CC=C(OC)C=C2,=,nM,70000,IC50,uM,70,
MB88,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=CC=C(OC)C=C2,=,nM,100000,IC50,uM,100,
MB89,O=C(/C=C/C1=C(F)C=C(F)C=C1)C2=CC=C(OCC)C=C2,=,nM,28100,IC50,uM,28.1,
MB90,O=C(/C=C/C1=CC=C(OC)C=C1)C2=CC=C(OCC)C=C2,=,nM,33000,IC50,uM,33,
MB91,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=CC=C(OCC)C=C4,=,nM,24900,IC50,uM,24.9,
MB92,O=C(/C=C/C1=CC=C(C2=NC(C=CC=C3)=C3C=C2)C=C1)C4=CC=C(OCC)C=C4,=,nM,100000,IC50,uM,100,
MB93,O=C(/C=C/C1=CC=C(F)C=C1)C2=CC=C(OCC)C=C2,=,nM,24100,IC50,uM,24.1,
MB94,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=CC=C(OCC)C=C2,=,nM,96000,IC50,uM,96,
MB95,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OCC)C=C2,=,nM,24000,IC50,uM,24,
MB96,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=CC=C(OCC)C=C2,=,nM,30000,IC50,uM,30,
MB97,O=C(/C=C/C1=CC=C(C)C=C1)C2=CC=C(OCC)C=C2,=,nM,38000,IC50,uM,38,
MB98,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=CC=C(OCC)C=C2,=,nM,39000,IC50,uM,39,
MB99,O=C(/C=C/C1=CC=C(N(C)C)C=C1)C2=CC=C(OCC)C=C2,=,nM,30000,IC50,uM,30,
MB100,O=C(/C=C/C1=CC=C(C#N)C=C1)C2=CC=C(OCC)C=C2,=,nM,540000,IC50,uM,540,
MB101,O=C(/C=C/C1=CC=CC=C1)C2=CC=C(OCC)C=C2,=,nM,43000,IC50,uM,43,
MB102,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=CC=C(O)C=C2O,=,nM,68500,IC50,uM,68.5,
MB103,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=CC=C(O)C=C4O,=,nM,16100,IC50,uM,16.1,
MB104,O=C(/C=C/C1=C(F)C=C(F)C=C1)C2=CC=C(O)C=C2O,=,nM,16000,IC50,uM,16,
MB105,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=CC=C(O)C=C2O,=,nM,56400,IC50,uM,56.4,
MB106,O=C(/C=C/C1=C2C(C=CC=C2)=CC=C1)C3=CC=C(O)C=C3O,=,nM,24800,IC50,uM,24.8,
MB107,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(O)C=C2O,=,nM,26500,IC50,uM,26.5,
MB108,O=C(/C=C/C1=C(C2=NC=CC=C2)C=CC=C1)C3=CC=C(O)C=C3O,=,nM,19700,IC50,uM,19.7,
MB109,O=C(C1=CC=C(C=C1O)O)/C=C/C2=CC=CC=C2C3=C(C=CC=C4)C4=CC=C3,=,nM,20000,IC50,uM,20,
MB110,O=C(C1=CC=C(C=C1O)O)/C=C/C2=CC=C(C3=NC=CC=C3)C=C2,=,nM,121600,IC50,uM,121.6,
MB111,O=C(C1=CC=C(C=C1O)O)/C=C/C2=CC=C(C3=NC(C=CC=C4)=C4C=C3)C=C2,=,nM,92800,IC50,uM,92.8,
MB112,O=C(C1=CC=C(C=C1O)O)/C=C/C2=CC=C(Cl)C=C2,=,nM,12300,IC50,uM,12.3,
MB113,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC3=C2C=CC=C3,=,nM,39900,IC50,uM,39.9,
MB114,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC(C3=NC(C=CC=C4)=C4C=C3)=C2,=,nM,41000,IC50,uM,41,
MB115,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC=C2C3=NC=CC=C3,=,nM,16300,IC50,uM,16.3,
MB116,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(C3=NC(C=CC=C4)=C4C=C3)C=C2,=,nM,51000,IC50,uM,51,
MB117,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC=C2C3=C(C=CC=C4)C4=CC=C3,=,nM,27500,IC50,uM,27.5,
MB118,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(Cl)C=C2,=,nM,38000,IC50,uM,38,
MB119,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC=C2Cl,=,nM,61700,IC50,uM,61.7,
MB120,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC(Cl)=C2,=,nM,33100,IC50,uM,33.1,
MB121,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(OC)C=C2,=,nM,32200,IC50,uM,32.2,
MB122,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(C)C=C2,=,nM,25400,IC50,uM,25.4,
MB123,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC(C)=C2,=,nM,25800,IC50,uM,25.8,
MB124,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(CCCC)C=C2,=,nM,20900,IC50,uM,20.9,
MB125,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(C(F)(F)F)C=C2,=,nM,30400,IC50,uM,30.4,
MB126,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C([N+]([O-])=O)C=C2,=,nM,20400,IC50,uM,20.4,
MB127,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(F)C=C2,=,nM,21700,IC50,uM,21.7,
MB128,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(Cl)C(Cl)=C2,=,nM,18400,IC50,uM,18.4,
MB129,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(N(C)C)C=C2,=,nM,17700,IC50,uM,17.7,
MB130,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=C(Cl)C=C2Cl,=,nM,24500,IC50,uM,24.5,
MB131,O=C(C1=CC=C(C=C1)O)/C=C/C2=CC=CC=C2,=,nM,29600,IC50,uM,29.6,
MB132,O=C(C1=CC=CC=C1O)/C=C/C2=C(Cl)C=C(Cl)C=C2,=,nM,35450,IC50,uM,35.45,
MB133,O=C(C1=CC=CC=C1O)/C=C/C2=CC=C(N(C)C)C=C2,=,nM,188000,IC50,uM,188,
MB134,O=C(C1=CC=CC=C1O)/C=C/C2=CC(C3=NC(C=CC=C4)=C4C=C3)=CC=C2,=,nM,28000,IC50,uM,28,
MB135,O=C(C1=CC=CC=C1O)/C=C/C2=CC=C(Cl)C=C2,=,nM,12850,IC50,uM,12.85,
MB136,O=C(C1=CC=CC=C1O)/C=C/C2=CC=C(C)C=C2,=,nM,62500,IC50,uM,62.5,
MB137,O=C(C1=CC=CC=C1O)/C=C/C2=CC=C(OC)C=C2,=,nM,61500,IC50,uM,61.5,
MB138,O=C(C1=CC=CC=C1O)/C=C/C2=C(OC)C=C(OC)C=C2,=,nM,25500,IC50,uM,25.5,
MB139,O=C(C1=CC=CC=C1O)/C=C/C2=CC=C(C(F)(F)F)C=C2,=,nM,35500,IC50,uM,35.5,
MB140,O=C(C1=CC=CC=C1O)/C=C/C2=CC=C(F)C=C2,=,nM,47000,IC50,uM,47,
MB141,O=C(C1=CC=CC=C1O)/C=C/C2=C(C3=NC=CC=C3)C=CC=C2,=,nM,31000,IC50,uM,31,
MB142,O=C(C1=CC=CC=C1O)/C=C/C2=C3C(C=CC=C3)=CC=C2,=,nM,32500,IC50,uM,32.5,
MB143,O=C(C1=CC=CC=C1O)/C=C/C2=C(C3=C(C=CC=C4)C4=CC=C3)C=CC=C2,=,nM,29500,IC50,uM,29.5,
MB149,O=C(/C=C/C1=CC2=C(C=C(OC)C(OC)=C2)N=C1Cl)C3=CC=CC=C3,=,nM,20000,IC50,uM,20,
MB150,O=C(/C=C/C1=CC2=C(C=C(OC)C(OC)=C2)N=C1Cl)C3=CC=C(C)C=C3,=,nM,50000,IC50,uM,50,
MB151,O=C(/C=C/C1=CC2=C(C=C(OC)C(OC)=C2)N=C1Cl)C3=CC=C(Br)C=C3,=,nM,70000,IC50,uM,70,
MB153,O=C(/C=C/C1=CC2=C(C=C(OC)C(OC)=C2)N=C1Cl)C3=CC=C(OC)C=C3OC,=,nM,40000,IC50,uM,40,
MB154,O=C(/C=C/C1=CC2=C(C=C(OC)C(OC)=C2)N=C1Cl)C3=CC(OC)=CC=C3OC,=,nM,40000,IC50,uM,40,
MB155,O=C(/C=C/C1=CC2=C(C=C(OC)C(OC)=C2)N=C1Cl)C3=C(OC)C=CC=C3OC,=,nM,100000,IC50,uM,100,
MB161,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC=CC=C4)C5=CC=C(Cl)C=C5,=,nM,78.77,IC50,nM,78.77,3D7
MB162,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC=C(C)C=C4)C5=CC=C(Cl)C=C5,=,nM,111.68,IC50,nM,111.68,3D7
MB163,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC=C(OC)C=C4)C5=CC=C(Cl)C=C5,=,nM,48.09,IC50,nM,48.09,3D7
MB164,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=C(OC)C=CC(OC)=C4)C5=CC=C(Cl)C=C5,=,nM,250.41,IC50,nM,250.41,3D7
MB165,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC=C(OC)C(OC)=C4)C5=CC=C(Cl)C=C5,=,nM,84.03,IC50,nM,84.03,3D7
MB166,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=C(OC)C(OC)=C(OC)C=C4)C5=CC=C(Cl)C=C5,=,nM,123.5,IC50,nM,123.5,3D7
MB167,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=C(OC)C=C(OC)C(OC)=C4)C5=CC=C(Cl)C=C5,=,nM,90.49,IC50,nM,90.49,3D7
MB168,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC(OC)=C(OC)C(OC)=C4)C5=CC=C(Cl)C=C5,=,nM,95.31,IC50,nM,95.31,3D7
MB169,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=COC=C4)C5=CC=C(Cl)C=C5,=,nM,57.3,IC50,nM,57.3,3D7
MB170,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC=C(F)C=C4)C5=CC=C(Cl)C=C5,=,nM,29.06,IC50,nM,29.06,3D7
MB171,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC=C(Cl)C=C4)C5=CC=C(Cl)C=C5,=,nM,144.69,IC50,nM,144.69,3D7
MB172,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=C(F)C=C(F)C=C4)C5=CC=C(Cl)C=C5,=,nM,138.81,IC50,nM,138.81,3D7
MB173,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=C(Cl)C=C(Cl)C=C4)C5=CC=C(Cl)C=C5,=,nM,295.42,IC50,nM,295.42,3D7
MB174,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC([N+]([O-])=O)=CC=C4)C5=CC=C(Cl)C=C5,=,nM,128.12,IC50,nM,128.12,3D7
MB176,O=C1C(C)=CC(/C=C/C(C2=CC=C(C)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,=,nM,20.14,IC50,nM,20.14,
