molecule_chembl_id,canonical_smiles,standard_value
MB229,O=C(/C=C/C1=CC=C(OC)C=C1)C2=CC=C(N3N=CC=C3)C=C2,40510
MB230,O=C(/C=C/C1=CC=C(OC)C=C1)C2=CC=C(N3N=NC4=C3C=CC=C4)C=C2,19130
MB231,O=C(/C=C/C1=CC(OC)=C(OC)C(OC)=C1)C2=CC=C(N3CCCCC3)C=C2,18760
MB232,O=C(/C=C/C1=CC(OC)=C(OC)C(OC)=C1)C2=CC=C(N3C=CC=N3)C=C2,16460
MB233,O=C(/C=C/C1=CC(OC)=C(OC)C(OC)=C1)C2=CC=C(N3CCOCC3)C=C2,11990
MB234,O=C(/C=C/C1=CC(OC)=C(OC)C(OC)=C1)C2=CC=C(N3C=NC=N3)C=C2,21970
MB235,CC1=CSC2=NC(/C=C\C3=CC=CC=C3)=C(C(/C=C/C4=CC=CC=C4)=O)C(C5=CC=CC=C5)N21,1230
MB236,CC1=CSC2=NC(/C=C\C3=CC=C(Cl)C=C3)=C(C(/C=C/C4=CC=C(Cl)C=C4)=O)C(C5=CC=CC=C5)N21,9720
MB237,O=C(C1=C(/C=C/C2=CC=CC(Cl)=C2)N=C(SC=C3C)N3C1C4=CC=CC=C4)/C=C/C5=CC=CC(Cl)=C5,1490
MB238,O=C(C1=C(/C=C/C2=C(Cl)C=CC=C2)N=C(SC=C3C)N3C1C4=CC=CC=C4)/C=C/C5=CC=CC=C5Cl,1050
MB239,O=C(C1=C(/C=C/C2=CC=C(Br)C=C2)N=C(SC=C3C)N3C1C4=CC=CC=C4)/C=C/C5=CC=C(Br)C=C5,8700
MB240,O=C(C1=C(/C=C/C2=CC=C(F)C=C2)N=C(SC=C3C)N3C1C4=CC=CC=C4)/C=C/C5=CC=C(F)C=C5,5390
MB241,O=C(C1=C(/C=C/C2=CC=C(OC)C=C2)N=C(SC=C3C)N3C1C4=CC=CC=C4)/C=C/C5=CC=C(OC)C=C5,4200
MB242,O=C(C1=C(/C=C/C2=CC=C(OCC3=CC=CC=C3)C=C2)N=C(SC=C4C)N4C1C5=CC=CC=C5)/C=C/C6=CC=C(OCC7=CC=CC=C7)C=C6,36440
MB243,O=C(C1=C(/C=C/C2=CC(OC)=C(OC)C(OC)=C2)N=C(SC=C3C)N3C1C4=CC=CC=C4)/C=C/C5=CC(OC)=C(OC)C(OC)=C5,780
MB244,O=C(C1=C(/C=C/C2=CC=C(OCO3)C3=C2)N=C(SC=C4C)N4C1C5=CC=CC=C5)/C=C/C6=CC=C(OCO7)C7=C6,9240
MB245,O=C(C1=C(/C=C/C2=CC=CC=C2)N=C(SC=C3C)N3C1C4=CC=C(OC)C=C4)/C=C/C5=CC=CC=C5,4300
MB246,O=C(C1=C(/C=C/C2=CC=C(Cl)C=C2)N=C(SC=C3C)N3C1C4=CC=C(OC)C=C4)/C=C/C5=CC=C(Cl)C=C5,9470
MB247,O=C(C1=C(/C=C/C2=CC=C(F)C=C2)N=C(SC=C3C)N3C1C4=CC=C(OC)C=C4)/C=C/C5=CC=C(F)C=C5,9770
MB248,O=C(C1=C(/C=C/C2=CC=C(OCO3)C3=C2)N=C(SC=C4C)N4C1C5=CC=C(OC)C=C5)/C=C/C6=CC=C(OCO7)C7=C6,6800
MB249,O=C(C1=C(/C=C/C2=CC=CS2)N=C(SC=C3C)N3C1C4=CC=C(OC)C=C4)/C=C/C5=CC=CS5,10280
MB250,O=C(C1=C(/C=C\C2=CC(OC)=C(OC)C(OC)=C2)N=C(SC=C3C)N3C1C4=CC(OC)=C(OC)C(OC)=C4)/C=C/C5=CC(OC)=C(OC)C(OC)=C5,9330
MB251,O=C(C1=C(/C=C/C2=CC=C(OC)C=C2)N=C(SC=C3C)N3C1C4=CC(OC)=C(OC)C(OC)=C4)/C=C/C5=CC=C(OC)C=C5,2570
MB252,O=C(C1=C(/C=C/C2=CC=CC=C2)N=C(SC=C3C)N3C1C4=CC=C(Cl)C=C4)/C=C/C5=CC=CC=C5,1010
MB253,O=C(C1=C(/C=C/C2=CC=CC=C2Cl)N=C(SC=C3C)N3C1C4=CC=C(Cl)C=C4)/C=C/C5=CC=CC=C5Cl,10460
MB254,O=C(C1=C(/C=C/C2=CC=CC(Cl)=C2)N=C(SC=C3C)N3C1C4=CC=C(Cl)C=C4)/C=C/C5=CC=CC(Cl)=C5,3980
MB255,O=C(C1=C(/C=C/C2=CC=C(Cl)C=C2)N=C(SC=C3C)N3C1C4=CC=C(Cl)C=C4)/C=C/C5=CC=C(Cl)C=C5,1500
MB256,O=C(C1=C(/C=C/C2=CC=C(Br)C=C2)N=C(SC=C3C)N3C1C4=CC=C(Cl)C=C4)/C=C/C5=CC=C(Br)C=C5,2010
MB257,O=C(C1=C(/C=C/C2=CC=C(OCC3=CC=CC=C3)C=C2)N=C(SC=C4C)N4C1C5=CC=C(Cl)C=C5)/C=C/C6=CC=C(OCC7=CC=CC=C7)C=C6,9860
MB258,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=C(Cl)C=C2,88000
MB260,O=C(C1=CC=C([N+]([O-])=O)C=C1)/C=C/C2=CC=CS2,169900
MB261,O=C(C1=CC=C(OCO2)C2=C1)/C=C/C3=CC=C(Cl)C=C3,97900
MB262,O=C(C1=CC=C(O)C=C1)/C=C/C2=CC=C(Cl)C=C2,30000
MB263,O=C(C1=CC=C(OCC=C)C=C1)/C=C/C2=CC=C(Cl)C=C2,75000
MB264,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(Cl)C=C2,65000
MB265,O=C(C1=CC=C(Br)C=C1)/C=C/C2=CC=C(Cl)C=C2,50000
MB266,O=C(C1=CC=C([N+]([O-])=O)C=C1)/C=C/C2=CC=C(Cl)C=C2,78000
MB268,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OC)C=C2,28800
MB269,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OC)C=C2OC,6000
MB270,O=C(C)/C=C/C1=CC=C(OC)C=C1OC,48500
MB271,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=C(OC)C=C(OC)C(OC)=C2,4000
MB272,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=C(OC)C=C(OC)C=C2OC,8000
MB273,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC(OC)=C(OC)C(OC)=C2,4600
MB274,O=C(C1=CC=C(Br)C=C1)/C=C(C2=CN(CC=C)C3=C2C=CC=C3)/C4=C(OC)C=C(OC)C(OC)=C4,17500
MB275,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC(OC)=C(OC)C=C2OC,11500
MB276,O=C(C1=CC=C(OC)C(OC)=C1OC)/C=C/C2=CC(OC)=C(OC)C=C2OC,7800
MB279,O=C(C1=CC=C(I)C=C1)/C=C/C2=CC(OC)=C(OC)C=C2OC,2000
MB280,O=C(C1=CC=C(Br)C=C1)/C=C/C2=CC(OC)=C(OC)C=C2OC,1800
MB282,O=C(C1=CC=C(C2=CC=C(Br)C=C2)C=C1)/C=C/C3=CC(OC)=C(OC)C=C3OC,47000
MB283,COC1=CC=C(C(/C=C/C2=CC=C(O/N=C(C)/OCC)C=C2)=O)C=C1,47100
MB284,O=C(/C=C/C1=CC=C(O/N=C(C)/OCC)C=C1)C2=CC=CC=C2,96900
MB286,CC1=CC=C(C(/C=C/C2=CC=C(O/N=C(C)/OCC)C=C2)=O)C=C1,102000
MB287,O=C(/C=C/C1=CC=C(O/N=C(C)/OCC)C=C1)C2=CC=CC=C2OC,41250
MB288,O=C(/C=C/C1=CC=C(O/N=C(C)/OCC)C=C1)C2=C(C)C=CC=C2,43290
MB290,O=C(/C=C/C1=CC=C(O/N=C(C)/OCC)C=C1)C2=CC=C(OC)C=C2OC,43310
MB291,O=C(/C=C/C1=CC=C(O/N=C(C)/OCC)C=C1)C2=CC(O)=CC=C2,46100
MB293,O=C(/C=C/C1=CC=C(O/N=C(C)/OCC)C=C1)C2=C(C=CC=C3)C3=CC=C2,33380
MB295,O=C(/C=C/C1=CC=CC=C1)C2=CC=C(O/N=C(OCC)\C)C=C2,96970
MB296,O=C(/C=C/C1=CC=C(C)C=C1)C2=CC=C(O/N=C(OCC)\C)C=C2,80390
MB297,O=C(/C=C/C1=CC=C(OC)C=C1)C2=CC=C(O/N=C(OCC)\C)C=C2,82500
MB298,O=C(/C=C/C1=CC=C(OC2=CC=CC=C2)C=C1)C3=CC=C(O/N=C(OCC)\C)C=C3,28880
MB299,O=C(/C=C/C1=CC=CC=C1OC)C2=CC=C(O/N=C(OCC)\C)C=C2,76600
MB300,O=C(/C=C/C1=CC=CC(OC)=C1)C2=CC=C(O/N=C(OCC)\C)C=C2,41250
MB301,O=C(/C=C/C1=CC(OC)=CC=C1OC)C2=CC=C(O/N=C(OCC)\C)C=C2,16240
MB302,O=C(/C=C/C1=CC=C(OC)C(OC)=C1)C2=CC=C(O/N=C(OCC)\C)C=C2,37890
MB304,O=C(/C=C/C1=CC(OC)=C(OC)C(OC)=C1)C2=CC=C(O/N=C(OCC)\C)C=C2,30000
MB308,O=C(/C=C/C1=CC=CS1)C2=CC=C(O/N=C(OCC)\C)C=C2,88770
MB310,O=C(/C=C/C1=CC=C(O/N=C(OCC)\C)C=C1)C2=CC=C(O/N=C(OCC)\C)C=C2,63340
MB311,O=C(C1=CC=C(O)C=C1)/C=C/C2=CC(CC=C)=C(O)C(OC)=C2,38500
MB312,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC(CC=C)=C(O)C(OC)=C2,28000
MB313,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC(CC=C)=C(OC)C(OC)=C2,3900
MB314,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC(CC=C)=C(OC)C(OC)=C2,4300
MB315,O=C(C1=CC=C(OCO2)C2=C1)/C=C/C3=CC(CC=C)=C(OC)C(OC)=C3,4700
MB316,O=C(C1=CC=C(Br)C=C1)/C=C/C2=CC(CC=C)=C(OC)C(OC)=C2,5300
MB317,O=C(C1=CC=C([N+]([O-])=O)C=C1)/C=C/C2=CC(CC=C)=C(OC)C(OC)=C2,12500
MB318,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC(CC=C)=C(OCC=C)C(OC)=C2,7800
MB320,O=C(C1=CC=C(Cl)C(Cl)=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,10000
MB321,O=C(C1=CC=C(Br)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,8100
MB322,O=C(C1=CC=C(I)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,8500
MB323,O=C(C1=CC=C(F)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,23000
MB324,O=C(C1=CC=CC(Cl)=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,5300
MB325,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,22500
MB326,O=C(C1=CC=C(OCO2)C2=C1)/C=C/C3=CC=C(OCC=C)C(OC)=C3,38500
MB328,O=C(C1=CC=C(N)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,36000
MB329,O=C(C1=CC=CC=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,38000
MB330,O=C(C1=CC=C(OCC=C)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,7400
MB331,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=CC(OC)=C2OCC=C,12500
MB332,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OC)C(OCC=C)=C2,18000
MB334,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OC/C=C(C)/C)C(OC)=C2,5000
MB335,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OCCCC)C(OC)=C2,14800
MB336,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OCC3=CC=C(Br)C=C3)C(OC)=C2,8000
MB337,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC(OC)=C(OCC=C)C(OC)=C2,3800
MB338,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OCC=C)C=C2,43000
MB339,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=CC=C2OCC=C,9000
MB340,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OCC=C)C(OCC)=C2,28000
MB341,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OCC=C)C(OCC=C)=C2,3400
MB342,O=C(C1=CC=C(OCC=C)C(OC)=C1)/C=C/C2=CC=C(Cl)C=C2,8600
MB343,O=C(C1=CC=CO1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,95000
MB344,O=C1C(C(/C=C/C2=CC=C(OCC=C)C(OC)=C2)=O)=CC3=C(O1)C=CC=C3,100000
MB346,O=C(C1=CC=CN1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,48000
MB349,O=C(C1=CC=C(NC2=CC=NC3=CC(Cl)=CC=C23)C=C1)/C=C/C4=CC=C(OCC=C)C(OC)=C4,75000
MB350,O=C(C1=CC=C(N(CC=C)C2=CC=NC3=CC(Cl)=CC=C23)C=C1)/C=C/C4=CC=C(OCC=C)C(OC)=C4,3500
MB352,O=C1C=CC2=C(O1)C=C(OCC3=CN(C4=CC=CC(C(/C=C/C5=CC=CC(OC)=C5OC)=O)=C4)N=N3)C=C2,13010
MB354,O=C1C=CC2=C(O1)C=C(OCC3=CN(C4=CC=CC(C(/C=C/C5=CC=C(OC)C(OC)=C5OC)=O)=C4)N=N3)C=C2,24150
MB358,O=C1C=C(OCC2=CN(C3=CC=CC(C(/C=C/C4=CC=CC(OC)=C4OC)=O)=C3)N=N2)C5=C(O1)C=CC=C5,9280
MB359,O=C1C=C(OCC2=CN(C3=CC=CC(C(/C=C/C4=CC=C(OC)C(OC)=C4OC)=O)=C3)N=N2)C5=C(O1)C=CC=C5,13840
MB360,O=C1C=C(OCC2=CN(C3=CC=C(C(/C=C/C4=CC=C(OC)C(OC)=C4OC)=O)C=C3)N=N2)C5=C(O1)C=CC=C5,2960
MB362,O=C(C1=CC(C/C=C(C)\C)=C(OC)C=C1O)/C=C/C2=CC=C(C)C=C2,91690
MB363,O=C(C1=CC(C/C=C(C)\C)=C(OC)C=C1O)/C=C/C2=CC=C(Br)C=C2,92320
MB364,O=C(C1=CC(C/C=C(C)\C)=C(OC)C=C1O)/C=C/C2=CC=C(OC)C(OC)=C2,2820
MB365,O=C(C1=CC(C/C=C(C)\C)=C(OC)C=C1O)/C=C/C2=CC=C(C3=CC=C(F)C=C3)C=C2,72240
MB368,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(O)C=C2,9430
MB369,O=C(/C=C/C1=CC=C(OCC#C[H])C(OC)=C1)C2=CC=C(OC)C=C2,13500
MB370,O=C(/C=C/C1=CC=C(OCC#C[H])C(OC)=C1)C2=CC=C(OC)C=C2OC,4300
MB371,O=C(/C=C/C1=CC=C(OCC#C[H])C(OC)=C1)C2=CC=C(OC)C(OC)=C2OC,2800
MB372,O=C(/C=C/C1=CC=C(OC)C=C1OC)C2=CC=C(OCC#C[H])C(OC)=C2,14500
MB373,O=C(/C=C/C1=CC=C(OC)C(OC)=C1OC)C2=CC=C(OCC#C[H])C(OC)=C2,2400
MB374,O=C(/C=C/C1=CC=C(Cl)C=C1Cl)C2=CC=C(OCC#C[H])C(OC)=C2,2800
MB375,O=C(/C=C/C1=CC=C(F)C=C1)C2=CC=C(OCC#C[H])C(OC)=C2,7700
MB376,O=C(/C=C/C1=CC=C(F)C=C1F)C2=CC=C(OCC#C[H])C(OC)=C2,5200
MB377,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(/C=C/C(C5=CC=C(OC)C=C5)=O)C=C4OC)=C3)C2)=O,6100
MB378,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(/C=C/C(C5=CC=C(OC)C=C5OC)=O)C=C4OC)=C3)C2)=O,4400
MB379,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(/C=C/C(C5=CC=C(OC)C(OC)=C5OC)=O)C=C4OC)=C3)C2)=O,3700
MB380,O=C(C1=CC=C(OC)C=C1)/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2,2200
MB381,O=C(C1=CC=C(OC)C=C1OC)/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2,70
MB382,O=C(C1=CC=C(OC)C(OC)=C1OC)/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2,400
MB383,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(OC)C=C5OC)=O)C=C4OC)=C3)C2)=O,11800
MB384,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(OC)C(OC)=C5OC)=O)C=C4OC)=C3)C2)=O,3800
MB385,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(Cl)C=C5Cl)=O)C=C4OC)=C3)C2)=O,1900
MB386,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(F)C=C5)=O)C=C4OC)=C3)C2)=O,6100
MB387,O=C1NC(C(C)=CN1C2OC(CO)C(N3N=NC(COC4=CC=C(C(/C=C/C5=CC=C(F)C=C5F)=O)C=C4OC)=C3)C2)=O,4800
MB388,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(OC)C=C5OC,11700
MB389,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(OC)C(OC)=C5OC,300
MB390,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(Cl)C=C5Cl,1900
MB391,O=C(C1=CC=C(OCC2=CN(C3=CC=NC4=CC(Cl)=CC=C34)N=N2)C(OC)=C1)/C=C/C5=CC=C(F)C=C5,1600
MB392,FC1=CC=C(C(/C=C/C2=CC=C(OCC3=CN(C4=CC=NC5=CC(Cl)=CC=C45)N=N3)C(OC)=C2)=O)C(F)=C1,2100
