molecule_chembl_id,canonical_smiles,standard_value
MB44,O=C(/C=C/C1=CC=C(CC)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,16500
MB45,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=C(OC)C(OC)=C(OC)C=C4,2000
MB46,O=C(/C=C/C1=CC=C(C2=CC=C(C=CC=C3)C3=N2)C=C1)C4=C(OC)C(OC)=C(OC)C=C4,60000
MB47,O=C(/C=C/C1=CC=C(OC)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,25000
MB48,O=C(/C=C/C1=CC=C(F)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,9500
MB49,O=C(/C=C/C1=CC=C(C2=CC=CC=C2)C=C1)C3=C(OC)C(OC)=C(OC)C=C3,26200
MB50,O=C(/C=C/C1=C(F)C=C(F)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,18500
MB51,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,22500
MB52,O=C(/C=C/C1=CC(Cl)=C(Cl)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,14500
MB53,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=C(OC)C(OC)=C(OC)C=C2,14500
MB54,O=C(/C=C/C1=C(Cl)C=CC=C1)C2=C(OC)C(OC)=C(OC)C=C2,41500
MB55,O=C(/C=C/C1=CC(Cl)=CC=C1)C2=C(OC)C(OC)=C(OC)C=C2,24400
MB56,O=C(/C=C/C1=CC=CC=C1)C2=C(OC)C(OC)=C(OC)C=C2,15800
MB57,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=CC=C(OCCCC)C=C2,108000
MB58,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=C(OC)C=C(OC)C=C2,18800
MB59,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=C(OC)C=C(OC)C=C2,5900
MB60,O=C(/C=C/C1=C(F)C=C(F)C=C1)C2=C(OC)C=C(OC)C=C2,6200
MB61,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=C(OC)C=C(OC)C=C2,2100
MB62,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=C(OC)C=C(OC)C=C2,415000
MB63,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(C=C2)N(C)C,70000
MB64,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(C=C2)C#N,94500
MB65,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=CC=C2,55500
MB66,O=C(/C=C/C1=CC=C(CC)C=C1)C2=C(OC)C=C(OC)C=C2,2400
MB67,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=C(OC)C=C(OC)C=C4,2200
MB68,O=C(/C=C/C1=CC=C(C2=CC=C(C=CC=C3)C3=N2)C=C1)C4=C(OC)C=C(OC)C=C4,27000
MB69,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(C=C2)C,93800
MB70,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(C=C2)OC,128500
MB71,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(C=C2)N(C)C,55300
MB72,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(F)C=C2,322000
MB73,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(Cl)C=C2,342000
MB74,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(Br)C=C2,542500
MB75,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(F)C=C2Cl,600000
MB76,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=C(Cl)C(Cl)=C2,297500
MB77,O=C(C1=C(C=C(C=C1)OC)OC)/C=C/C2=CC=CC3=C2C=CC=C3,320000
MB78,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(O)C=C2,7000
MB79,O=C(C1=CC=C(C=C1)OC)/C=C/C2=CC=C(F)C=C2F,26800
MB80,O=C(/C=C/C1=CC=C(C=C1)OC)C2=CC=C(OC)C=C2,21700
MB81,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=CC=C(OC)C=C4,4800
MB82,O=C(/C=C/C1=CC=C(C2=NC(C=CC=C3)=C3C=C2)C=C1)C4=CC=C(OC)C=C4,43000
MB83,O=C(/C=C/C1=CC=C(F)C=C1)C2=CC=C(OC)C=C2,14400
MB84,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=CC=C(OC)C=C2,16000
MB85,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=CC=C(OC)C=C2,19000
MB86,O=C(/C=C/C1=C(OC)C=C(OC)C=C1)C2=CC=C(OC)C=C2,6400
MB87,O=C(/C=C/C1=CC=C(C)C=C1)C2=CC=C(OC)C=C2,70000
MB88,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=CC=C(OC)C=C2,100000
MB89,O=C(/C=C/C1=C(F)C=C(F)C=C1)C2=CC=C(OCC)C=C2,28100
MB90,O=C(/C=C/C1=CC=C(OC)C=C1)C2=CC=C(OCC)C=C2,33000
MB91,O=C(/C=C/C1=CC(C2=NC(C=CC=C3)=C3C=C2)=CC=C1)C4=CC=C(OCC)C=C4,24900
MB92,O=C(/C=C/C1=CC=C(C2=NC(C=CC=C3)=C3C=C2)C=C1)C4=CC=C(OCC)C=C4,100000
MB93,O=C(/C=C/C1=CC=C(F)C=C1)C2=CC=C(OCC)C=C2,24100
MB94,O=C(/C=C/C1=C(Cl)C=C(Cl)C=C1)C2=CC=C(OCC)C=C2,96000
